brand,url,sku,name,description,price,currency,images,scraped_at,terms,section,error,image_downloads
Zara,https://www.zara.com/us/en/pocket-puffer-jacket-p08281439.html,312664937-514-2,POCKET PUFFER JACKET,Quilted jacket made of technical fabric. High collar and long sleeves. Flap pocket at chest and hidden in-seam pockets at side hip. Interior pocket. Interior elastic hem. Cropped length. Front zip closure.,129,USD,"['https://static.zara.net/photos///2024/V/0/2/p/8281/439/514/2/w/1920/8281439514_1_1_1.jpg?ts=1707305300916', 'https://static.zara.net/photos///2024/V/0/2/p/8281/439/514/2/w/1920/8281439514_2_1_1.jpg?ts=1707305301504', 'https://static.zara.net/photos///2024/V/0/2/p/8281/439/514/2/w/1920/8281439514_2_2_1.jpg?ts=1707305301581', 'https://static.zara.net/photos///2024/V/0/2/p/8281/439/514/2/w/1920/8281439514_2_3_1.jpg?ts=1707305300714', 'https://static.zara.net/photos///2024/V/0/2/p/8281/439/514/2/w/1920/8281439514_2_4_1.jpg?ts=1707305301582', 'https://static.zara.net/photos///2024/V/0/2/p/8281/439/514/2/w/1920/8281439514_2_5_1.jpg?ts=1707305301669', 'https://static.zara.net/photos///2024/V/0/2/p/8281/439/514/2/w/1920/8281439514_6_1_1.jpg?ts=1707295792904', 'https://static.zara.net/photos///2024/V/0/2/p/8281/439/514/2/w/1920/8281439514_6_2_1.jpg?ts=1707295792500', 'https://static.zara.net/photos///2024/V/0/2/p/8281/439/514/2/w/1920/8281439514_6_3_1.jpg?ts=1707295794931']",2024-02-19 8:50:33,jackets,MAN,,"['a52197d5-8c5f-42ff-96f7-dc7c02b767e2', '05d09c20-58f9-4847-babe-072d5b3d8810', '3d0ad404-3bbb-47bc-aaa2-8dcc4229c6cd', 'c9e45e53-3156-4e5c-8107-c9ac27c8fe15', '348f38db-7ef0-42d8-a194-805bd145477c', 'a73d68f8-095a-4ad4-8866-0883dd51741e', 'c31b0da3-d9ed-46f2-9bdd-ae51b4035b1a', '1d3b9aff-efff-40ff-b0c2-e8f1124c87b3', 'd5b64b8a-8ae8-473c-8d4a-8aeded3c60e6']"
Zara,https://www.zara.com/us/en/technical-jacket-with-pockets-p03286501.html,321143723-401-2,TECHNICAL JACKET WITH POCKETS,Jacket made of technical fabric with quilted interior. Lapel collar and long sleeves. Flap patch pockets at hip. Rib trim. Front button closure.,109,USD,"['https://static.zara.net/photos///2024/V/0/2/p/3286/501/401/2/w/1920/3286501401_1_1_1.jpg?ts=1707904525809', 'https://static.zara.net/photos///2024/V/0/2/p/3286/501/401/2/w/1920/3286501401_2_1_1.jpg?ts=1707904528117', 'https://static.zara.net/photos///2024/V/0/2/p/3286/501/401/2/w/1920/3286501401_2_2_1.jpg?ts=1707904527418', 'https://static.zara.net/photos///2024/V/0/2/p/3286/501/401/2/w/1920/3286501401_2_3_1.jpg?ts=1707904525909', 'https://static.zara.net/photos///2024/V/0/2/p/3286/501/401/2/w/1920/3286501401_2_4_1.jpg?ts=1707904527212', 'https://static.zara.net/photos///2024/V/0/2/p/3286/501/401/2/w/1920/3286501401_2_5_1.jpg?ts=1707904528155', 'https://static.zara.net/photos///2024/V/0/2/p/3286/501/401/2/w/1920/3286501401_6_1_1.jpg?ts=1707904477173', 'https://static.zara.net/photos///2024/V/0/2/p/3286/501/401/2/w/1920/3286501401_6_2_1.jpg?ts=1707904477405', 'https://static.zara.net/photos///2024/V/0/2/p/3286/501/401/2/w/1920/3286501401_6_3_1.jpg?ts=1707904241517']",2024-02-19 8:50:33,jackets,MAN,,"['7060cf3e-3b95-4b2e-b9cc-825bc53e0205', 'aae9dbd4-aa5e-475d-b35b-735a58875930', '9d8b3084-0697-4a59-8e2c-5cc262890ff5', 'aa5a8505-52a7-4b9c-95c4-7f4d36134249', '4bb9b696-9c6a-43a7-9087-6aa2eb484159', 'e8311317-66e7-4b53-9bbf-982219783ae2', '2e49d1b2-769e-4e1f-9d8f-eafb2b8d7d6e', '5da5801e-1a21-498a-a7cc-fb6625755a44', '7db19b61-32d3-43ee-96c5-0438683bd4c5']"
Zara,https://www.zara.com/us/en/faux-leather-jacket-p08281345.html,311297763-800-2,FAUX LEATHER JACKET,Jacket made of faux leather fabric. Lapel collar and long sleeves with snap buttoned cuffs. Welt pockets at hip. Front snap button closure.,69.9,USD,"['https://static.zara.net/photos///2024/V/0/2/p/8281/345/800/2/w/1920/8281345800_6_1_1.jpg?ts=1704970333547', 'https://static.zara.net/photos///2024/V/0/2/p/8281/345/800/2/w/1920/8281345800_6_2_1.jpg?ts=1704970333760', 'https://static.zara.net/photos///2024/V/0/2/p/8281/345/800/2/w/1920/8281345800_6_3_1.jpg?ts=1704970333774']",2024-02-19 8:50:34,jackets,MAN,,"['edac204b-ec85-4568-bfeb-0c2111e52e98', '9e9c9170-3def-4469-9c22-ad967f98fd0e', '795f8636-104b-44e2-8b25-742c6628fd99']"
Zara,https://www.zara.com/us/en/faux-suede-jacket-p03548689.html,311292194-731-2,FAUX SUEDE JACKET,Lapel collar jacket with long sleeves with buttoned cuffs. Flap pockets at chest and welt pockets at hip. Front button closure.,89.9,USD,"['https://static.zara.net/photos///2024/V/0/2/p/3548/689/731/2/w/1920/3548689731_1_1_1.jpg?ts=1701249158935', 'https://static.zara.net/photos///2024/V/0/2/p/3548/689/731/2/w/1920/3548689731_2_1_1.jpg?ts=1701249159073', 'https://static.zara.net/photos///2024/V/0/2/p/3548/689/731/2/w/1920/3548689731_2_2_1.jpg?ts=1701249159104', 'https://static.zara.net/photos///2024/V/0/2/p/3548/689/731/2/w/1920/3548689731_2_3_1.jpg?ts=1701249158059', 'https://static.zara.net/photos///2024/V/0/2/p/3548/689/731/2/w/1920/3548689731_2_4_1.jpg?ts=1701249159369', 'https://static.zara.net/photos///2024/V/0/2/p/3548/689/731/2/w/1920/3548689731_6_1_1.jpg?ts=1701083250809', 'https://static.zara.net/photos///2024/V/0/2/p/3548/689/731/2/w/1920/3548689731_6_2_1.jpg?ts=1701083251170', 'https://static.zara.net/photos///2024/V/0/2/p/3548/689/731/2/w/1920/3548689731_6_3_1.jpg?ts=1701083252195']",2024-02-19 8:50:34,jackets,MAN,,"['07ee7311-c7bf-433f-9366-17d2fb88196b', '0788fc00-d95f-4090-830c-bb19f5c06252', '36c9f7d5-e0b1-47e8-ac35-3cd4f7955cee', '15cb350a-5949-4719-ae04-a1b31c80df65', '800a3728-51e6-4e71-9b98-4bb57cb8bbfb', '5a56e17b-09f5-4568-996c-ca04f09f006d', '3172424d-9c47-4469-a681-4144219a1456', '73fcf706-a7fd-4dcd-8d41-a33f37d38a89']"
Zara,https://www.zara.com/us/en/ripped-denim-jacket-p01538470.html,335663355-406-2,RIPPED DENIM JACKET,Denim jacket with lapel collar and long sleeves with buttoned cuffs. Flap pockets at chest and welt pockets at hip. All over washed effect and rips. Front button closure.,69.9,USD,"['https://static.zara.net/photos///2024/V/0/2/p/1538/470/406/2/w/1920/1538470406_1_1_1.jpg?ts=1708086171096', 'https://static.zara.net/photos///2024/V/0/2/p/1538/470/406/2/w/1920/1538470406_2_1_1.jpg?ts=1708086172272', 'https://static.zara.net/photos///2024/V/0/2/p/1538/470/406/2/w/1920/1538470406_2_2_1.jpg?ts=1708086171922', 'https://static.zara.net/photos///2024/V/0/2/p/1538/470/406/2/w/1920/1538470406_2_3_1.jpg?ts=1708086171043', 'https://static.zara.net/photos///2024/V/0/2/p/1538/470/406/2/w/1920/1538470406_2_4_1.jpg?ts=1708086172581', 'https://static.zara.net/photos///2024/V/0/2/p/1538/470/406/2/w/1920/1538470406_2_5_1.jpg?ts=1708086172442', 'https://static.zara.net/photos///2024/V/0/2/p/1538/470/406/2/w/1920/1538470406_6_1_1.jpg?ts=1708008844211', 'https://static.zara.net/photos///2024/V/0/2/p/1538/470/406/2/w/1920/1538470406_6_2_1.jpg?ts=1708008843684', 'https://static.zara.net/photos///2024/V/0/2/p/1538/470/406/2/w/1920/1538470406_6_3_1.jpg?ts=1708008845273']",2024-02-19 8:50:35,jackets,MAN,,"['16c03cfa-8ebd-45ab-a045-6450b8939a4b', '81decaa3-a75d-47fc-859d-bffdb9bb9c5b', '538b924d-aaef-4cb1-9418-816c5923e794', '8663f330-1df9-464f-a91f-06325e4004c6', 'e09990d2-0270-4ec3-8087-30ea6f8448ea', '765054b5-2ea1-448f-b782-37b8eeeb83d1', '1432c1fc-140d-46b8-b30d-9770a431acc5', '34f82ce7-9eda-43f5-a3b5-65dfaf986a89', 'bd0b49e6-0b61-40e3-9806-d4bf79078aba']"
Zara,https://www.zara.com/us/en/textured-pocket-jacket-p03918500.html,312363708-800-2,TEXTURED POCKET JACKET,Jacket with lightly padded interior. Lapel collar and long sleeves with buttoned cuffs. Flap pockets at chest and welt pockets at hip. Front button closure.,89.9,USD,"['https://static.zara.net/photos///2024/V/0/2/p/3918/500/800/2/w/1920/3918500800_1_1_1.jpg?ts=1705480885441', 'https://static.zara.net/photos///2024/V/0/2/p/3918/500/800/2/w/1920/3918500800_2_1_1.jpg?ts=1705480886474', 'https://static.zara.net/photos///2024/V/0/2/p/3918/500/800/2/w/1920/3918500800_2_2_1.jpg?ts=1705480887078', 'https://static.zara.net/photos///2024/V/0/2/p/3918/500/800/2/w/1920/3918500800_2_3_1.jpg?ts=1705480884793', 'https://static.zara.net/photos///2024/V/0/2/p/3918/500/800/2/w/1920/3918500800_2_4_1.jpg?ts=1705480887933', 'https://static.zara.net/photos///2024/V/0/2/p/3918/500/800/2/w/1920/3918500800_2_5_1.jpg?ts=1705480886622', 'https://static.zara.net/photos///2024/V/0/2/p/3918/500/800/2/w/1920/3918500800_6_1_1.jpg?ts=1705322983504', 'https://static.zara.net/photos///2024/V/0/2/p/3918/500/800/2/w/1920/3918500800_6_2_1.jpg?ts=1705322983534', 'https://static.zara.net/photos///2024/V/0/2/p/3918/500/800/2/w/1920/3918500800_6_3_1.jpg?ts=1705322985363', 'https://static.zara.net/photos///2024/V/0/2/p/3918/500/800/2/w/1920/3918500800_6_4_1.jpg?ts=1705322985275']",2024-02-19 8:50:36,jackets,MAN,,"['cc439b52-ab0a-4a20-9d59-8e0a46e58e75', '9dc56d7d-4f67-4010-a5ce-b23d7be006b4', '789ea594-bb77-4326-9952-a704bbf255de', '963cd631-cdd7-45d4-b40c-6330eb17aee5', '16854154-91e8-476d-80ef-3352d697da8a', '1354c39f-1882-496c-8668-2778477af0cb', 'ac75255f-aad0-4673-be38-773596192089', '91d11ed0-05ce-4677-8e7a-52c5abe34986', '569d6272-17fd-4baa-b6db-f201ce6f1cb1', '81f80776-807c-4c0f-ad58-9730d55c60db']"
Zara,https://www.zara.com/us/en/faux-suede-patch-jacket-p08281357.html,312320664-251-2,FAUX SUEDE PATCH JACKET,Varsity jacket made of faux suede fabric. Lapel collar and long sleeves. Double welt pockets at hip and interior pocket. Front contrasting patch appliqués and embroidery. Rib trim. Front snap button closure.,89.9,USD,"['https://static.zara.net/photos///2024/V/0/2/p/8281/357/251/2/w/1920/8281357251_1_1_1.jpg?ts=1707472936137', 'https://static.zara.net/photos///2024/V/0/2/p/8281/357/251/2/w/1920/8281357251_2_1_1.jpg?ts=1707472936266', 'https://static.zara.net/photos///2024/V/0/2/p/8281/357/251/2/w/1920/8281357251_2_2_1.jpg?ts=1707472936760', 'https://static.zara.net/photos///2024/V/0/2/p/8281/357/251/2/w/1920/8281357251_2_3_1.jpg?ts=1707472936520', 'https://static.zara.net/photos///2024/V/0/2/p/8281/357/251/2/w/1920/8281357251_2_4_1.jpg?ts=1707472937727', 'https://static.zara.net/photos///2024/V/0/2/p/8281/357/251/2/w/1920/8281357251_2_5_1.jpg?ts=1707472937354', 'https://static.zara.net/photos///2024/V/0/2/p/8281/357/251/2/w/1920/8281357251_2_6_1.jpg?ts=1707472937181', 'https://static.zara.net/photos///2024/V/0/2/p/8281/357/251/2/w/1920/8281357251_6_1_1.jpg?ts=1707404675538', 'https://static.zara.net/photos///2024/V/0/2/p/8281/357/251/2/w/1920/8281357251_6_2_1.jpg?ts=1707404675331', 'https://static.zara.net/photos///2024/V/0/2/p/8281/357/251/2/w/1920/8281357251_6_3_1.jpg?ts=1707404675671']",2024-02-19 8:50:36,jackets,MAN,,"['6e090db9-4bfe-4f3e-b41b-44a8e1e7ade2', '377f9042-8157-4315-881c-ff810ea046ce', 'c793acf5-d887-4602-8174-4878b5dc33a2', '853704f7-2bce-477d-8e35-53cac296904c', '757d3339-7254-4a4b-85c2-264a66994c26', 'e3bce42e-c6d3-45e4-98bb-bfeead7668f7', '65c6d362-9e45-4557-9078-5c5d12c5dd5f', '0ae0a5b4-2272-4705-a383-6a13d0829268', '7f5e8494-13d9-42c3-b221-cf08890f7040', 'c9c8263b-b32d-4760-871b-eb3dc1029211']"
Zara,https://www.zara.com/us/en/puffer-jacket-with-pouch-pocket-p00155401.html,311302445-445-97,PUFFER JACKET WITH POUCH POCKET,Jacket made of technical fabric with padded interior. High collar with front zip closure and long sleeves with elastic strap cuffs. Front and back contrast embroidered text. Zip pockets at hip. Adjustable elastic strap at hem with side zippers and strap.,89.9,USD,"['https://static.zara.net/photos///2024/V/0/2/p/0155/401/445/2/w/1920/0155401445_2_1_1.jpg?ts=1707305301107', 'https://static.zara.net/photos///2024/V/0/2/p/0155/401/445/2/w/1920/0155401445_2_4_1.jpg?ts=1707305301759', 'https://static.zara.net/photos///2024/V/0/2/p/0155/401/445/2/w/1920/0155401445_1_1_1.jpg?ts=1707305300707', 'https://static.zara.net/photos///2024/V/0/2/p/0155/401/445/2/w/1920/0155401445_2_2_1.jpg?ts=1707305301850', 'https://static.zara.net/photos///2024/V/0/2/p/0155/401/445/2/w/1920/0155401445_2_3_1.jpg?ts=1707305300125', 'https://static.zara.net/photos///2024/V/0/2/p/0155/401/445/2/w/1920/0155401445_6_1_1.jpg?ts=1707295483283', 'https://static.zara.net/photos///2024/V/0/2/p/0155/401/445/2/w/1920/0155401445_6_2_1.jpg?ts=1707295483194', 'https://static.zara.net/photos///2024/V/0/2/p/0155/401/445/2/w/1920/0155401445_6_3_1.jpg?ts=1707295486272', 'https://static.zara.net/photos///2024/V/0/2/p/0155/401/445/2/w/1920/0155401445_6_4_1.jpg?ts=1707295486863', 'https://static.zara.net/photos///2024/V/0/2/p/0155/401/445/2/w/1920/0155401445_6_5_1.jpg?ts=1707295486070']",2024-02-19 8:50:37,jackets,MAN,,"['a0dc331a-16b0-4852-b9a1-47ac6c5d3e2d', '97cb386b-0a69-4e9b-8d48-8658e9ca7feb', 'a52c1553-de4c-4652-8998-8387d2f73de0', 'fa8cc7d9-b466-4ac2-a9e5-f08d210ac136', 'b3b122ac-2b12-4a26-8fea-247819ff5f00', 'f4ece043-ff05-41dd-93e7-67b4dbb7323c', 'ef90ee86-f1fd-480f-af46-7958083ec2ad', 'eed68d09-d035-4121-a951-854c2186da75', '4a60a6cd-2f0c-4db9-acea-75118e150691', '75a5ae58-3346-4835-85f4-a3e53e3614c2']"
Zara,https://www.zara.com/us/en/bomber-jacket-p05039440.html,323216370-422-97,BOMBER JACKET,Boxy bomber jacket. Rib elastic collar and long sleeves. Welt pockets at hip. Elasticized trim. Front zip closure.,89.9,USD,"['https://static.zara.net/photos///2024/V/0/2/p/5039/440/422/2/w/1920/5039440422_1_1_1.jpg?ts=1707316087598', 'https://static.zara.net/photos///2024/V/0/2/p/5039/440/422/2/w/1920/5039440422_2_1_1.jpg?ts=1707316088617', 'https://static.zara.net/photos///2024/V/0/2/p/5039/440/422/2/w/1920/5039440422_2_2_1.jpg?ts=1707316088658', 'https://static.zara.net/photos///2024/V/0/2/p/5039/440/422/2/w/1920/5039440422_2_3_1.jpg?ts=1707316087560', 'https://static.zara.net/photos///2024/V/0/2/p/5039/440/422/2/w/1920/5039440422_2_4_1.jpg?ts=1707316088668', 'https://static.zara.net/photos///2024/V/0/2/p/5039/440/422/2/w/1920/5039440422_2_5_1.jpg?ts=1707316088779', 'https://static.zara.net/photos///2024/V/0/2/p/5039/440/422/2/w/1920/5039440422_2_6_1.jpg?ts=1707316088714', 'https://static.zara.net/photos///2024/V/0/2/p/5039/440/422/2/w/1920/5039440422_6_1_1.jpg?ts=1707295790753', 'https://static.zara.net/photos///2024/V/0/2/p/5039/440/422/2/w/1920/5039440422_6_2_1.jpg?ts=1707295790832', 'https://static.zara.net/photos///2024/V/0/2/p/5039/440/422/2/w/1920/5039440422_6_3_1.jpg?ts=1707295794594']",2024-02-19 8:50:38,jackets,MAN,,"['6f0b4874-ad21-4386-b39f-426c7533db48', '0a674cd3-7e2f-4668-a598-9aba9bb6a593', 'b41f2e2e-c9f7-4be0-8f27-cfea757b7c72', 'f13a7f56-808c-4bb7-b00b-f8037fb7ba06', '45d63e59-8c18-4f09-8d39-f514e96d98f0', 'fa30ddf1-a908-4dec-b64f-f321ebf2523b', '5e33e7c6-6dbf-4e6b-84ad-2483195ddf92', '96255f47-fea1-40e8-be8f-39f85139e392', 'd65f4444-bbd7-4d91-b6ef-a258fd39b375', '9438f824-d183-45ba-927c-8505f0f7cdb1']"
Zara,https://www.zara.com/us/en/textured-weave-overshirt-p01608101.html,317107014-707-2,TEXTURED WEAVE OVERSHIRT,Relaxed fit overshirt. Lapel collar and long sleeves with buttoned cuffs. Side hidden in-seam pockets. Front button closure.,89.9,USD,"['https://static.zara.net/photos///2024/V/0/2/p/1608/101/707/2/w/1920/1608101707_1_1_1.jpg?ts=1704800281042', 'https://static.zara.net/photos///2024/V/0/2/p/1608/101/707/2/w/1920/1608101707_2_1_1.jpg?ts=1704800283208', 'https://static.zara.net/photos///2024/V/0/2/p/1608/101/707/2/w/1920/1608101707_2_2_1.jpg?ts=1704800283276', 'https://static.zara.net/photos///2024/V/0/2/p/1608/101/707/2/w/1920/1608101707_2_3_1.jpg?ts=1704800280937', 'https://static.zara.net/photos///2024/V/0/2/p/1608/101/707/2/w/1920/1608101707_2_4_1.jpg?ts=1704800283479', 'https://static.zara.net/photos///2024/V/0/2/p/1608/101/707/2/w/1920/1608101707_2_5_1.jpg?ts=1704800283218', 'https://static.zara.net/photos///2024/V/0/2/p/1608/101/707/2/w/1920/1608101707_6_1_1.jpg?ts=1704725643925', 'https://static.zara.net/photos///2024/V/0/2/p/1608/101/707/2/w/1920/1608101707_6_2_1.jpg?ts=1704725643849', 'https://static.zara.net/photos///2024/V/0/2/p/1608/101/707/2/w/1920/1608101707_6_3_1.jpg?ts=1704725644756']",2024-02-19 8:50:39,jackets,MAN,,"['c2e9694e-b0a5-4b3a-b3ac-e8aceee02541', '0958888c-ee37-438e-905d-26874e149e77', '92ed2252-1f42-4192-ae94-2ab9a96c1c3b', '56947dd6-298f-47f4-971f-733a8bcb944a', '6a103cc0-9662-40cc-ab67-997e1a179db6', '8f9a7226-c6cb-48b3-8ec4-56c37bbd1998', 'e1d83396-2e0e-4324-ac0c-572e15fdbcd5', '8c47254e-0deb-4d96-85d5-2ca4439445b9', '062d34dd-c986-46e1-91c9-0a2103efa326']"
