brand,url,sku,name,description,price,currency,images,scraped_at,terms,section,error,image_downloads
Zara,https://www.zara.com/us/en/basic-puffer-jacket-p06985450.html,272145190-250-2,BASIC PUFFER JACKET,Puffer jacket made of tear-resistant ripstop fabric. High collar and adjustable long sleeves with adhesive straps. Welt pockets at hip. Adjustable hem with side elastics. Front zip closure.,19.99,USD,"['https://static.zara.net/photos///2023/I/0/2/p/6985/450/250/2/w/1920/6985450250_1_1_1.jpg?ts=1691143602663', 'https://static.zara.net/photos///2023/I/0/2/p/6985/450/250/2/w/1920/6985450250_2_1_1.jpg?ts=1691143602184', 'https://static.zara.net/photos///2023/I/0/2/p/6985/450/250/2/w/1920/6985450250_2_2_1.jpg?ts=1691143602614', 'https://static.zara.net/photos///2023/I/0/2/p/6985/450/250/2/w/1920/6985450250_2_3_1.jpg?ts=1691143603207', 'https://static.zara.net/photos///2023/I/0/2/p/6985/450/250/2/w/1920/6985450250_2_4_1.jpg?ts=1691143602647', 'https://static.zara.net/photos///2023/I/0/2/p/6985/450/250/2/w/1920/6985450250_6_1_1.jpg?ts=1691076764895', 'https://static.zara.net/photos///2023/I/0/2/p/6985/450/250/2/w/1920/6985450250_6_2_1.jpg?ts=1691076764912', 'https://static.zara.net/photos///2023/I/0/2/p/6985/450/250/2/w/1920/6985450250_6_3_1.jpg?ts=1691076765246']",2024-02-19 8:50:06,jackets,MAN,,"['e8e4ae57-8b72-44ff-aa5d-84de3ed37d9e', '0cb3791f-ebc3-4311-ae9b-39688130a258', '6831411d-91a5-458d-b6eb-8657ac66ce12', '184c9f8e-4765-4270-a048-27cdf64b32ce', '037c90a2-abef-400b-be2b-a50fa1d40f20', 'f248a6fd-a8ad-4d45-8ff2-cc8af4302c8a', '1ca4fce1-d4c2-4dce-9dd0-33125377a943', 'cd47d226-c738-485e-9fb2-730108c8c5e8']"
Zara,https://www.zara.com/us/en/tuxedo-jacket-p08896675.html,324052738-800-46,TUXEDO JACKET,Straight fit blazer. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pockets at hip and interior pocket. Central back vent at hem. Front button closure.,169,USD,"['https://static.zara.net/photos///2024/V/0/1/p/8896/675/800/2/w/1920/8896675800_1_1_1.jpg?ts=1707215340123', 'https://static.zara.net/photos///2024/V/0/1/p/8896/675/800/2/w/1920/8896675800_2_1_1.jpg?ts=1707215339442', 'https://static.zara.net/photos///2024/V/0/1/p/8896/675/800/2/w/1920/8896675800_2_2_1.jpg?ts=1707215339447', 'https://static.zara.net/photos///2024/V/0/1/p/8896/675/800/2/w/1920/8896675800_2_3_1.jpg?ts=1707215339263', 'https://static.zara.net/photos///2024/V/0/1/p/8896/675/800/2/w/1920/8896675800_2_4_1.jpg?ts=1707215341196', 'https://static.zara.net/photos///2024/V/0/1/p/8896/675/800/2/w/1920/8896675800_2_5_1.jpg?ts=1707215340176', 'https://static.zara.net/photos///2024/V/0/1/p/8896/675/800/2/w/1920/8896675800_2_6_1.jpg?ts=1707215341193', 'https://static.zara.net/photos///2023/I/0/2/p/8896/675/800/2/w/1920/8896675800_6_1_1.jpg?ts=1696921814938', 'https://static.zara.net/photos///2023/I/0/2/p/8896/675/800/2/w/1920/8896675800_6_2_1.jpg?ts=1696921815489', 'https://static.zara.net/photos///2023/I/0/2/p/8896/675/800/2/w/1920/8896675800_6_3_1.jpg?ts=1696921818078']",2024-02-19 8:50:07,jackets,MAN,,"['b42b0725-cfe2-4748-af3e-3abe590d83cd', 'ed9c6818-89d4-41ce-818d-ffd8d31790f7', '7543f196-b03a-463f-af90-e85a25186b94', '7f27af73-8085-486c-9dd0-69a7471f3370', '3ae39a7d-cc00-4a0e-900a-81bd3b4dda51', '920069d2-79a3-44f0-af3b-45ea651b781c', '349bfdb3-6fd2-43fc-8bfd-62f7727e046f', 'c71e12f6-16a1-4eea-9b2e-9ad76f892137', '2b2d9255-1896-4947-b56e-abf103b8ccc5', '65e9ebc3-0d74-4f85-ac50-17e5371b9b84']"
Zara,https://www.zara.com/us/en/slim-fit-suit-jacket-p01564520.html,335342680-800-44,SLIM FIT SUIT JACKET,Slim fit jacket. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,129,USD,"['https://static.zara.net/photos///2023/I/0/2/p/1564/700/800/2/w/1920/1564700800_1_1_1.jpg?ts=1689605442163', 'https://static.zara.net/photos///2023/I/0/2/p/1564/700/800/2/w/1920/1564700800_2_1_1.jpg?ts=1689605445145', 'https://static.zara.net/photos///2023/I/0/2/p/1564/700/800/2/w/1920/1564700800_2_2_1.jpg?ts=1689605443271', 'https://static.zara.net/photos///2023/I/0/2/p/1564/700/800/2/w/1920/1564700800_2_3_1.jpg?ts=1689605442393', 'https://static.zara.net/photos///2023/I/0/2/p/1564/700/800/2/w/1920/1564700800_2_4_1.jpg?ts=1689605446770', 'https://static.zara.net/photos///2023/I/0/2/p/1564/700/800/2/w/1920/1564700800_2_5_1.jpg?ts=1689605447624', 'https://static.zara.net/photos///2023/I/0/2/p/8288/510/800/2/w/1920/8288510800_6_1_1.jpg?ts=1689590970125', 'https://static.zara.net/photos///2023/I/0/2/p/8288/510/800/2/w/1920/8288510800_6_2_1.jpg?ts=1689590970452', 'https://static.zara.net/photos///2023/I/0/2/p/8288/510/800/2/w/1920/8288510800_6_3_1.jpg?ts=1689590971512']",2024-02-19 8:50:07,jackets,MAN,,"['c27bdddf-2f9c-4693-976f-0d1272212c12', '07e60806-16ed-465a-b19b-2d4bd072e6a6', '4f1cc647-7fc1-4609-a9c6-20dfc78519a0', 'ad3c4d82-3248-4e55-acc4-e892d22b790c', '2b19a55a-d734-4e96-a000-a4932760e522', '6a3e4e3d-4a80-4b5f-bded-a79f6ec8c0a6', 'fb1ed456-2bb1-4568-b01c-a13f06d1b2a9', 'be2f2dbb-ab90-45bb-8f7f-f1045d4ad935', 'c6bd7230-2d78-4a69-88e4-5bf6fa2e917d']"
Zara,https://www.zara.com/us/en/stretch-suit-jacket-p01564300.html,328303236-420-44,STRETCH SUIT JACKET,Slim fit jacket made of viscose blend fabric. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,129,USD,"['https://static.zara.net/photos///2024/V/0/1/p/1564/300/420/2/w/1920/1564300420_1_1_1.jpg?ts=1707224041633', 'https://static.zara.net/photos///2024/V/0/1/p/1564/300/420/2/w/1920/1564300420_2_1_1.jpg?ts=1707224039853', 'https://static.zara.net/photos///2024/V/0/1/p/1564/300/420/2/w/1920/1564300420_2_2_1.jpg?ts=1707224039965', 'https://static.zara.net/photos///2024/V/0/1/p/1564/300/420/2/w/1920/1564300420_2_3_1.jpg?ts=1707224040332', 'https://static.zara.net/photos///2024/V/0/1/p/1564/300/420/2/w/1920/1564300420_2_4_1.jpg?ts=1707224040474', 'https://static.zara.net/photos///2024/V/0/1/p/1564/300/420/2/w/1920/1564300420_2_5_1.jpg?ts=1707224041901', 'https://static.zara.net/photos///2024/V/0/2/p/1564/300/420/2/w/1920/1564300420_6_1_1.jpg?ts=1706862062633', 'https://static.zara.net/photos///2024/V/0/2/p/1564/300/420/2/w/1920/1564300420_6_2_1.jpg?ts=1706862062606', 'https://static.zara.net/photos///2024/V/0/2/p/1564/300/420/2/w/1920/1564300420_6_3_1.jpg?ts=1706862063146']",2024-02-19 8:50:08,jackets,MAN,,"['0cbc84c8-f9ff-4f02-940c-ff642b5af379', 'dd47d7b2-9abd-4093-a7f0-a6fea82d7388', '1f854366-249e-4ed4-8698-f801fa0a47f3', 'bfbdcc43-0d1a-4cda-ad73-6cedaa52ab06', '66767631-b7d0-48ce-b9df-5110f2309c80', '8ca15430-65a6-41bc-8af7-8efeacff47b0', '5a982740-ed82-4fd3-84ce-520be79d58e7', '5dc3c479-64fc-4ac9-93bb-f9d049446b16', '4c2799af-93aa-42a3-a688-94380c134feb']"
Zara,https://www.zara.com/us/en/double-faced-jacket-p08281477.html,312368260-800-2,DOUBLE FACED JACKET,Jacket made of faux leather faux shearling with fleece interior. Tabbed lapel collar. Long sleeves. Zip pockets at hip. Front zip closure.,139,USD,"['https://static.zara.net/photos///2024/V/0/2/p/8281/477/800/2/w/1920/8281477800_1_1_1.jpg?ts=1705480812773', 'https://static.zara.net/photos///2024/V/0/2/p/8281/477/800/2/w/1920/8281477800_2_1_1.jpg?ts=1705480812421', 'https://static.zara.net/photos///2024/V/0/2/p/8281/477/800/2/w/1920/8281477800_2_2_1.jpg?ts=1705480813152', 'https://static.zara.net/photos///2024/V/0/2/p/8281/477/800/2/w/1920/8281477800_2_3_1.jpg?ts=1705480812303', 'https://static.zara.net/photos///2024/V/0/2/p/8281/477/800/2/w/1920/8281477800_2_4_1.jpg?ts=1705480813126', 'https://static.zara.net/photos///2024/V/0/2/p/8281/477/800/2/w/1920/8281477800_6_1_1.jpg?ts=1705322984846', 'https://static.zara.net/photos///2024/V/0/2/p/8281/477/800/2/w/1920/8281477800_6_2_1.jpg?ts=1705322984847', 'https://static.zara.net/photos///2024/V/0/2/p/8281/477/800/2/w/1920/8281477800_6_3_1.jpg?ts=1705322985455', 'https://static.zara.net/photos///2024/V/0/2/p/8281/477/800/2/w/1920/8281477800_6_4_1.jpg?ts=1705322985171']",2024-02-19 8:50:08,jackets,MAN,,"['1ccc9c87-49c9-4825-9d67-4c1f61e5db1f', '1349486b-bd29-455e-9a09-6ab287428d14', '65781e3f-7463-43a8-9af1-5b7e35a30000', '981cf3db-da85-4533-9a54-4229777be734', '73e75dd6-6ee5-4c17-a835-53f6adac7b78', 'cc982f92-d765-4f35-9ae6-3cea7a9a8756', '47a85a6d-0340-439e-ae60-19656470d71c', 'bfcc400d-b642-4508-bd1a-121e4dffee6f', '17d625e2-82f1-40c1-b3d8-cd873ffead0a']"
Zara,https://www.zara.com/us/en/contrasting-collar-jacket-p06987331.html,320298385-807-2,CONTRASTING COLLAR JACKET,Relaxed fit jacket. Contrasting lapel collar and long sleeves with buttoned cuffs. Front pouch pockets. Interior pocket. Washed effect. Front zip closure.,79.9,USD,"['https://static.zara.net/photos///2024/V/0/2/p/6987/331/807/2/w/1920/6987331807_1_1_1.jpg?ts=1707324106995', 'https://static.zara.net/photos///2024/V/0/2/p/6987/331/807/2/w/1920/6987331807_2_1_1.jpg?ts=1707324106877', 'https://static.zara.net/photos///2024/V/0/2/p/6987/331/807/2/w/1920/6987331807_2_2_1.jpg?ts=1707324107029', 'https://static.zara.net/photos///2024/V/0/2/p/6987/331/807/2/w/1920/6987331807_2_3_1.jpg?ts=1707324106941', 'https://static.zara.net/photos///2024/V/0/2/p/6987/331/807/2/w/1920/6987331807_2_4_1.jpg?ts=1707324106985', 'https://static.zara.net/photos///2024/V/0/2/p/6987/331/807/2/w/1920/6987331807_2_5_1.jpg?ts=1707324107074', 'https://static.zara.net/photos///2024/V/0/2/p/6987/331/807/2/w/1920/6987331807_6_1_1.jpg?ts=1707295792194', 'https://static.zara.net/photos///2024/V/0/2/p/6987/331/807/2/w/1920/6987331807_6_2_1.jpg?ts=1707295792450', 'https://static.zara.net/photos///2024/V/0/2/p/6987/331/807/2/w/1920/6987331807_6_3_1.jpg?ts=1707295797127']",2024-02-19 8:50:09,jackets,MAN,,"['d747f1a2-86d6-4998-9a3f-9ec95f7da1aa', 'e2ea6d47-099f-4003-87b8-bd21101d7f89', 'f9d9ae2a-d0ee-405a-9019-012aebeaabc6', '893a96a1-35e6-424b-9a1e-d5577d0adf55', 'd2397f93-6e68-43a3-b9a1-18b1fcc9750a', '3d9d1b68-0e07-4da3-af1c-d85345599ece', '70f97d62-709d-4699-9d42-4a3e2fd41718', '332622a1-379a-46e0-8d37-8b20980b5fb3', 'a8ca3ed4-b7fb-4b70-8757-10456bf32236']"
Zara,https://www.zara.com/us/en/faux-leather-puffer-jacket-p08281420.html,278112470-800-2,FAUX LEATHER PUFFER JACKET,Faux leather puffer jacket. High collar and long sleeves with ribbed interior cuffs. Welt pockets at hip. Interior pocket. Adjustable hem with side elastics. Front zip closure.,69.99,USD,"['https://static.zara.net/photos///2023/I/0/1/p/8281/420/800/2/w/1920/8281420800_1_1_1.jpg?ts=1696408603918', 'https://static.zara.net/photos///2023/I/0/1/p/8281/420/800/2/w/1920/8281420800_2_1_1.jpg?ts=1696408603911', 'https://static.zara.net/photos///2023/I/0/2/p/8281/420/800/2/w/1920/8281420800_2_2_1.jpg?ts=1696333499557', 'https://static.zara.net/photos///2023/I/0/2/p/8281/420/800/2/w/1920/8281420800_2_3_1.jpg?ts=1696333499485', 'https://static.zara.net/photos///2023/I/0/2/p/8281/420/800/2/w/1920/8281420800_2_4_1.jpg?ts=1696333499787', 'https://static.zara.net/photos///2023/I/0/2/p/8281/420/800/2/w/1920/8281420800_6_1_1.jpg?ts=1695972909867', 'https://static.zara.net/photos///2023/I/0/2/p/8281/420/800/2/w/1920/8281420800_6_2_1.jpg?ts=1695972910056', 'https://static.zara.net/photos///2023/I/0/2/p/8281/420/800/2/w/1920/8281420800_6_3_1.jpg?ts=1695972911787']",2024-02-19 8:50:10,jackets,MAN,,"['a54505fa-d2ba-4268-904e-09dff1abe5d9', 'd8fd6412-0d3b-4847-b924-a12ec941e061', '95c5aab0-8cab-42d8-abf4-4d41ec5ee443', '4d70869d-a999-45bb-8eb8-5e024edf9a2b', 'ec3f08da-4dea-49ef-b71f-14f2c0669f43', '2ac9b234-54f3-4c7c-9a56-16d43180df96', '05eea949-e395-4021-824b-bad80aedcba8', '09784f40-f643-407f-8556-d4db3646ab14']"
Zara,https://www.zara.com/us/en/suit-jacket-in-100-linen-p04307408.html,322972485-431-46,SUIT JACKET IN 100% LINEN,Straight fit blazer made of linen. Notched lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,159,USD,"['https://static.zara.net/photos///2024/V/0/1/p/4307/408/431/2/w/1920/4307408431_1_1_1.jpg?ts=1707218462789', 'https://static.zara.net/photos///2024/V/0/1/p/4307/408/431/2/w/1920/4307408431_2_1_1.jpg?ts=1707218461951', 'https://static.zara.net/photos///2024/V/0/1/p/4307/408/431/2/w/1920/4307408431_2_2_1.jpg?ts=1707218462232', 'https://static.zara.net/photos///2024/V/0/1/p/4307/408/431/2/w/1920/4307408431_2_3_1.jpg?ts=1707218461540', 'https://static.zara.net/photos///2024/V/0/1/p/4307/408/431/2/w/1920/4307408431_2_4_1.jpg?ts=1707218462420', 'https://static.zara.net/photos///2024/V/0/2/p/4307/408/431/2/w/1920/4307408431_6_1_1.jpg?ts=1704970177735', 'https://static.zara.net/photos///2024/V/0/2/p/4307/408/431/2/w/1920/4307408431_6_2_1.jpg?ts=1704970177734', 'https://static.zara.net/photos///2024/V/0/2/p/4307/408/431/2/w/1920/4307408431_6_3_1.jpg?ts=1704970179815']",2024-02-19 8:50:10,jackets,MAN,,"['b5dda852-d59e-4928-ae54-97c2bdb7068b', '77e695ec-f7f1-4ab6-92e1-894efffdaf4b', '29e6114d-cf2d-4bbe-91b6-69f098b9203d', 'ea6d9cc3-e4e7-4977-b9c5-ca2147a9753c', '238d820b-358c-4f4e-9d73-24db79df5c6d', '7dff8709-6a96-43d1-aa8b-13440a713873', 'a6ba695a-7382-4a2b-b5a4-c16e44989c4a', '71853fba-8357-4b5e-886e-d0dcfecc077b']"
Zara,https://www.zara.com/us/en/100-wool-suit-jacket-p05955218.html,313854165-401-46,100% WOOL SUIT JACKET,Jacket made of Italian wool. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,169,USD,"['https://static.zara.net/photos///2024/V/0/1/p/5955/218/401/2/w/1920/5955218401_1_1_1.jpg?ts=1707214679962', 'https://static.zara.net/photos///2024/V/0/1/p/5955/218/401/2/w/1920/5955218401_2_1_1.jpg?ts=1707214679718', 'https://static.zara.net/photos///2024/V/0/1/p/5955/218/401/2/w/1920/5955218401_2_2_1.jpg?ts=1707214679446', 'https://static.zara.net/photos///2024/V/0/1/p/5955/218/401/2/w/1920/5955218401_2_3_1.jpg?ts=1707214679139', 'https://static.zara.net/photos///2024/V/0/1/p/5955/218/401/2/w/1920/5955218401_2_4_1.jpg?ts=1707214679971', 'https://static.zara.net/photos///2024/V/0/1/p/5955/218/401/2/w/1920/5955218401_2_5_1.jpg?ts=1707214680859', 'https://static.zara.net/photos///2023/I/0/2/p/5955/218/401/2/w/1920/5955218401_6_1_1.jpg?ts=1691417639331', 'https://static.zara.net/photos///2023/I/0/1/p/5955/218/401/2/w/1920/5955218401_6_2_1.jpg?ts=1691574966606', 'https://static.zara.net/photos///2023/I/0/2/p/5955/218/401/2/w/1920/5955218401_6_3_1.jpg?ts=1691417639594']",2024-02-19 8:50:11,jackets,MAN,,"['3b5e1419-e14d-4f96-8f4c-361c584fb4a1', '85e9699e-a9e3-4ec9-acf1-a5b5558ecc11', '2a0f6dbd-877c-44ff-ba64-22b48fcf6e9a', '39cd6724-7893-4313-addb-fefa3abb8929', 'bc0d817d-1393-4894-b026-8341fc0c5daf', 'e5896fd6-17e9-4971-9a85-2df2b9402d71', '1db0e1a1-f5ab-4dd5-a00b-84d5be46eb55', 'a1e76ed1-71a6-4d8a-85a2-e907090cf54e', 'dea83d8a-e1a1-4f44-a50f-5c4fdf8c065d']"
Zara,https://www.zara.com/us/en/100-feather-fill-puffer-jacket-p04302305.html,312372602-800-2,100% FEATHER FILL PUFFER JACKET,Puffer jacket made of shiny finish technical fabric. Fill is a blend of 80% down and 20% feathers. High collar with adjustable hood and long sleeves with elastic cuffs. Welt pockets at hip and interior pocket. Adjustable hem with side elastics. Front zip closure.,169,USD,"['https://static.zara.net/photos///2023/I/0/2/p/4302/305/800/2/w/1920/4302305800_2_1_1.jpg?ts=1696577676839', 'https://static.zara.net/photos///2023/I/0/2/p/4302/305/800/2/w/1920/4302305800_2_4_1.jpg?ts=1696577677962', 'https://static.zara.net/photos///2023/I/0/2/p/4302/305/800/2/w/1920/4302305800_1_1_1.jpg?ts=1696577676945', 'https://static.zara.net/photos///2023/I/0/2/p/4302/305/800/2/w/1920/4302305800_2_2_1.jpg?ts=1696577677170', 'https://static.zara.net/photos///2023/I/0/2/p/4302/305/800/2/w/1920/4302305800_2_3_1.jpg?ts=1696577676496', 'https://static.zara.net/photos///2024/V/0/2/p/4302/305/800/2/w/1920/4302305800_6_1_1.jpg?ts=1703838861782', 'https://static.zara.net/photos///2024/V/0/2/p/4302/305/800/2/w/1920/4302305800_6_2_1.jpg?ts=1703838861699', 'https://static.zara.net/photos///2024/V/0/2/p/4302/305/800/2/w/1920/4302305800_6_3_1.jpg?ts=1703838861749', 'https://static.zara.net/photos///2024/V/0/2/p/4302/305/800/2/w/1920/4302305800_6_4_1.jpg?ts=1703838861732']",2024-02-19 8:50:11,jackets,MAN,,"['7c7a97ab-39e2-416d-8617-e13a34c05b99', '574b69a7-ee8a-4a47-820c-cb539131ef6d', '0ab78894-cfc7-4cfa-8b78-40cb8f0979af', '38d1c399-d6a5-4243-bb5a-e8c154fae725', '14085b49-3995-453a-9806-015847614e2b', '2af08b6d-a60a-4350-aa4e-2f901eb9f709', '10099068-1186-4bc9-9641-b68d2a2914a6', 'fde523dc-a9d3-4016-a10c-9155ce947e96', '72c957bf-1d03-478e-8303-80b843d47a21']"
